# background genes,# genes,category,chart color,description,FDR value,genes,network.SUID,nodes.SUID,p-value,PMID,term name,transferred FDR value,year,FDR (-log10)
978,9,DISEASES,,Cancer,9.10E-04,CDK2|TP53|CASP3|MYB|E2F1|ACVR1|AKT1|MYC|CTNNB1,10163,10303|10291|10333|10288|10264|10279|10330|10318|10285,5.52E-06,,DOID:162,0.304095861,0,3.040958608
60,3,WikiPathways,,Development of ureteric collection system,9.10E-04,SMAD1|BMPR1A|CTNNB1,10163,10282|10300|10285,9.61E-05,,WP5053,0.304095861,0,3.040958608
3,2,GO Biological Process,,Osteoblast fate commitment,9.30E-04,SMAD1|SMAD5,10163,10282|10258,1.94E-05,,GO:0002051,0.303151705,0,3.031517051
1143,9,GO Biological Process,,Negative regulation of molecular function,9.30E-04,CSNK2A1|STUB1|CYP27B1|TP53|PLK1|CASP3|E2F1|SKI|AKT1,10163,10306|10315|10255|10291|10297|10333|10264|10270|10330,1.92E-05,,GO:0044092,0.303151705,0,3.031517051
34,3,GO Biological Process,,Negative regulation of fibroblast proliferation,9.30E-04,TP53|SKI|MYC,10163,10291|10270|10318,1.93E-05,,GO:0048147,0.303151705,0,3.031517051
349,5,KEGG Pathways,,PI3K-Akt signaling pathway,9.50E-04,RBL2|CDK2|TP53|AKT1|MYC,10163,10276|10303|10291|10330|10318,1.30E-04,,hsa04151,0.302227639,0,3.022276395
111,4,GO Biological Process,,Regulation of cell cycle G2/M phase transition,9.60E-04,CDK2|TP53|PLK1|CDK1,10163,10303|10291|10297|10327,2.01E-05,,GO:1902749,0.301772877,0,3.017728767
3,2,TISSUES,,DLD-1 cell,9.60E-04,TP53|CTNNB1,10163,10291|10285,1.94E-05,,BTO:0000391,0.301772877,0,3.017728767
3,2,TISSUES,,RBL-1 cell,9.60E-04,RBL2|E2F4,10163,10276|10321,1.94E-05,,BTO:0000994,0.301772877,0,3.017728767
3,2,TISSUES,,Rhizome,9.60E-04,CASP3|AKT1,10163,10333|10330,1.94E-05,,BTO:0001181,0.301772877,0,3.017728767
3,2,TISSUES,,NCI-H460 cell,9.60E-04,TP53|CASP3,10163,10291|10333,1.94E-05,,BTO:0002207,0.301772877,0,3.017728767
236,5,GO Biological Process,,Regulation of cysteine-type endopeptidase activity,9.70E-04,CSNK2A1|CASP6|SMAD3|AKT1|MYC,10163,10306|10309|10252|10330|10318,2.04E-05,,GO:2000116,0.301322827,0,3.013228266
356,7,Monarch Phenotype,,Pain,9.80E-04,SMAD2|TP53|SMAD3|BMPR1A|AKT1|MYC|CTNNB1,10163,10267|10291|10252|10300|10330|10318|10285,5.72E-07,,EFO:0003843,0.300877392,0,3.008773924
355,7,Monarch Phenotype,,Abnormal morphology of female internal genitalia,9.80E-04,TP53|SMAD3|BMPR1A|BMPR1B|AKT1|MYC|CTNNB1,10163,10291|10252|10300|10294|10330|10318|10285,5.62E-07,,HP:0000008,0.300877392,0,3.008773924
539,8,Monarch Phenotype,,Pain,9.80E-04,CYP27B1|SMAD2|TP53|SMAD3|BMPR1A|AKT1|MYC|CTNNB1,10163,10255|10267|10291|10252|10300|10330|10318|10285,6.33E-07,,HP:0012531,0.300877392,0,3.008773924
35,3,GO Biological Process,,Regulation of glial cell proliferation,9.90E-04,TP53|E2F1|SKI,10163,10291|10264|10270,2.09E-05,,GO:0060251,0.300436481,0,3.004364805
2203,12,GO Biological Process,,Nucleic acid metabolic process,9.90E-04,STUB1|SMAD2|CDK2|TP53|CEBPB|SMAD1|PRKACA|SMAD3|E2F1|SKI|CDK1|CTNNB1,10163,10315|10267|10303|10291|10312|10282|10261|10252|10264|10270|10327|10285,2.10E-05,,GO:0090304,0.300436481,0,3.004364805
62,3,WikiPathways,,Endochondral ossification,9.90E-04,PRKACA|BMPR1A|AKT1,10163,10261|10300|10330,1.10E-04,,WP474,0.300436481,0,3.004364805
62,3,WikiPathways,,Endochondral ossification with skeletal dysplasias,9.90E-04,PRKACA|BMPR1A|AKT1,10163,10261|10300|10330,1.10E-04,,WP4808,0.300436481,0,3.004364805
238,5,GO Biological Process,,Mesenchyme development,0.001,SMAD2|SMAD3|BMPR1A|ACVR1|CTNNB1,10163,10267|10252|10300|10279|10285,2.12E-05,,GO:0060485,0.3,0,3
70,3,KEGG Pathways,,Platinum drug resistance,0.001,TP53|CASP3|AKT1,10163,10291|10333|10330,1.50E-04,,hsa01524,0.3,0,3
69,3,KEGG Pathways,,Adherens junction,0.001,CSNK2A1|SMAD3|CTNNB1,10163,10306|10252|10285,1.40E-04,,hsa04520,0.3,0,3
71,3,KEGG Pathways,,Glioma,0.001,TP53|E2F1|AKT1,10163,10291|10264|10330,1.60E-04,,hsa05214,0.3,0,3
68,3,KEGG Pathways,,Non-small cell lung cancer,0.001,TP53|E2F1|AKT1,10163,10291|10264|10330,1.40E-04,,hsa05223,0.3,0,3
68,3,KEGG Pathways,,Central carbon metabolism in cancer,0.001,TP53|AKT1|MYC,10163,10291|10330|10318,1.40E-04,,hsa05230,0.3,0,3
419,6,GO Biological Process,,Gland development,0.0011,SMAD2|CEBPB|SMAD3|BMPR1A|AKT1|CTNNB1,10163,10267|10312|10252|10300|10330|10285,2.43E-05,,GO:0048732,0.295860731,0,2.958607315
72,3,KEGG Pathways,,Melanoma,0.0011,TP53|E2F1|AKT1,10163,10291|10264|10330,1.60E-04,,hsa05218,0.295860731,0,2.958607315
38,3,Reactome Pathways,,Apoptotic cleavage of cellular proteins,0.0011,CASP6|CASP3|CTNNB1,10163,10309|10333|10285,2.63E-05,,HSA-111465,0.295860731,0,2.958607315
430,6,Reactome Pathways,,Diseases of signal transduction by growth factor receptors and second messengers,0.0011,SMAD2|CEBPB|SMAD3|AKT1|MYC|CTNNB1,10163,10267|10312|10252|10330|10318|10285,2.81E-05,,HSA-5663202,0.295860731,0,2.958607315
39,3,Reactome Pathways,,Transcriptional Regulation by VENTX,0.0011,TP53|CEBPB|CTNNB1,10163,10291|10312|10285,2.83E-05,,HSA-8853884,0.295860731,0,2.958607315
119,4,Reactome Pathways,,Transcriptional regulation by RUNX2,0.0011,STUB1|SMAD1|CDK1|AKT1,10163,10315|10282|10327|10330,2.62E-05,,HSA-8878166,0.295860731,0,2.958607315
65,3,WikiPathways,,Physico-chemical features and toxicity-associated pathways,0.0011,AKT1|MYC|CTNNB1,10163,10330|10318|10285,1.20E-04,,WP3680,0.295860731,0,2.958607315
38,3,GO Biological Process,,Cardiac conduction system development,0.0012,SMAD1|BMPR1A|SMAD5,10163,10282|10300|10258,2.63E-05,,GO:0003161,0.292081875,0,2.920818754
422,6,GO Biological Process,,Response to xenobiotic stimulus,0.0012,TP53|CASP3|E2F1|CDK1|MYC|CTNNB1,10163,10291|10333|10264|10327|10318|10285,2.53E-05,,GO:0009410,0.292081875,0,2.920818754
900,8,GO Biological Process,,Peptidyl-amino acid modification,0.0012,CSNK2A1|CDK2|PLK1|PRKACA|CDK1|ACVR1|SUMO2|AKT1,10163,10306|10303|10297|10261|10327|10279|10273|10330,2.67E-05,,GO:0018193,0.292081875,0,2.920818754
2,2,GO Cellular Component,,Homomeric SMAD protein complex,0.0012,SMAD2|SMAD1,10163,10267|10282,1.16E-05,,GO:0071142,0.292081875,0,2.920818754
361,6,GO Molecular Function,,Protein serine kinase activity,0.0012,CSNK2A1|CDK2|PLK1|PRKACA|CDK1|AKT1,10163,10306|10303|10297|10261|10327|10330,1.06E-05,,GO:0106310,0.292081875,0,2.920818754
757,8,DISEASES,,Organ system cancer,0.0012,CDK2|TP53|CASP3|E2F1|ACVR1|AKT1|MYC|CTNNB1,10163,10303|10291|10333|10264|10279|10330|10318|10285,7.68E-06,,DOID:0050686,0.292081875,0,2.920818754
68,3,WikiPathways,,Melanoma,0.0012,TP53|E2F1|AKT1,10163,10291|10264|10330,1.40E-04,,WP4685,0.292081875,0,2.920818754
391,7,Monarch Phenotype,,Abnormal internal genitalia,0.0012,TP53|SMAD3|BMPR1A|BMPR1B|AKT1|MYC|CTNNB1,10163,10291|10252|10300|10294|10330|10318|10285,1.06E-06,,HP:0000812,0.292081875,0,2.920818754
821,9,Monarch Phenotype,,Generalized abnormality of skin,0.0012,STUB1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|SKI|AKT1|CTNNB1,10163,10315|10267|10291|10261|10252|10300|10270|10330|10285,1.33E-06,,HP:0011354,0.292081875,0,2.920818754
2018,13,Monarch Phenotype,,Abnormality of limbs,0.0012,CSNK2A1|STUB1|CYP27B1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10306|10315|10255|10267|10291|10261|10252|10300|10270|10294|10279|10330|10285,1.19E-06,,HP:0040064,0.292081875,0,2.920818754
4,2,GO Biological Process,,Mullerian duct regression,0.0013,BMPR1A|SMAD5,10163,10300|10258,2.90E-05,,GO:0001880,0.288605665,0,2.886056648
4,2,TISSUES,,SW-480 cell,0.0013,TP53|CTNNB1,10163,10291|10285,2.90E-05,,BTO:0000038,0.288605665,0,2.886056648
6444,20,TISSUES,,Reproductive system,0.0013,CSNK2A1|RBL2|SMAD2|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|BMPR1A|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10276|10267|10303|10291|10297|10312|10282|10261|10333|10252|10288|10300|10294|10279|10273|10258|10330|10318|10285,3.18E-05,,BTO:0000081,0.288605665,0,2.886056648
40,3,TISSUES,,Intestinal epithelium,0.0013,TP53|CDK1|CTNNB1,10163,10291|10327|10285,3.04E-05,,BTO:0000781,0.288605665,0,2.886056648
4,2,TISSUES,,SKOV-3 cell,0.0013,CASP3|AKT1,10163,10333|10330,2.90E-05,,BTO:0000948,0.288605665,0,2.886056648
4,2,TISSUES,,PC-3 cell,0.0013,CASP3|AKT1,10163,10333|10330,2.90E-05,,BTO:0001061,0.288605665,0,2.886056648
4,2,TISSUES,,H9c2 cell,0.0013,CASP3|AKT1,10163,10333|10330,2.90E-05,,BTO:0001879,0.288605665,0,2.886056648
4,2,TISSUES,,U-87MG cell,0.0013,TP53|AKT1,10163,10291|10330,2.90E-05,,BTO:0002036,0.288605665,0,2.886056648
9,3,Pfam,,Activin types I and II receptor domain,0.0013,BMPR1A|BMPR1B|ACVR1,10163,10300|10294|10279,5.59E-07,,PF01064,0.288605665,0,2.886056648
60,4,Monarch Phenotype,,Neoplasm of the stomach,0.0013,TP53|BMPR1A|AKT1|CTNNB1,10163,10291|10300|10330|10285,1.95E-06,,HP:0006753,0.288605665,0,2.886056648
422,7,Monarch Phenotype,,Abnormality of the female genitalia,0.0013,TP53|SMAD3|BMPR1A|BMPR1B|AKT1|MYC|CTNNB1,10163,10291|10252|10300|10294|10330|10318|10285,1.75E-06,,HP:0010460,0.288605665,0,2.886056648
14,3,Monarch Phenotype,,Anasarca,0.0013,TP53|BMPR1A|CTNNB1,10163,10291|10300|10285,1.72E-06,,HP:0012050,0.288605665,0,2.886056648
144,5,Monarch Phenotype,,Sarcoma,0.0013,TP53|BMPR1A|BMPR1B|AKT1|CTNNB1,10163,10291|10300|10294|10330|10285,1.96E-06,,HP:0100242,0.288605665,0,2.886056648
655,7,GO Biological Process,,Hemopoiesis,0.0014,RCOR1|TP53|CEBPB|CASP3|MYB|SMAD5|CTNNB1,10163,10324|10291|10312|10333|10288|10258|10285,2.97E-05,,GO:0030097,0.285387196,0,2.853871964
436,6,GO Biological Process,,Reproductive structure development,0.0014,CYP27B1|CEBPB|CASP3|BMPR1B|AKT1|CTNNB1,10163,10255|10312|10333|10294|10330|10285,3.03E-05,,GO:0048608,0.285387196,0,2.853871964
256,5,GO Biological Process,,Homeostasis of number of cells,0.0014,RCOR1|CASP3|MYB|SMAD5|AKT1,10163,10324|10333|10288|10258|10330,2.99E-05,,GO:0048872,0.285387196,0,2.853871964
209,4,KEGG Pathways,,Salmonella infection,0.0014,CASP3|AKT1|MYC|CTNNB1,10163,10333|10330|10318|10285,2.20E-04,,hsa05132,0.285387196,0,2.853871964
453,6,Reactome Pathways,,Signaling by Interleukins,0.0014,TP53|PRKACA|CASP3|SMAD3|AKT1|MYC,10163,10291|10261|10333|10252|10330|10318,3.74E-05,,HSA-449147,0.285387196,0,2.853871964
639,8,Monarch Phenotype,,Abnormal bone structure,0.0014,CYP27B1|TP53|PRKACA|SMAD3|SKI|ACVR1|AKT1|CTNNB1,10163,10255|10291|10261|10252|10270|10279|10330|10285,2.23E-06,,HP:0003330,0.285387196,0,2.853871964
275,6,Monarch Phenotype,,Neoplasm by histology,0.0014,TP53|BMPR1A|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10291|10300|10294|10279|10330|10285,2.29E-06,,HP:0011792,0.285387196,0,2.853871964
128,4,GO Biological Process,,Embryonic epithelial tube formation,0.0015,PRKACA|CASP3|SKI|CTNNB1,10163,10261|10333|10270|10285,3.46E-05,,GO:0001838,0.282390874,0,2.823908741
41,3,GO Biological Process,,Negative regulation of gliogenesis,0.0015,TP53|SKI|CTNNB1,10163,10291|10270|10285,3.26E-05,,GO:0014014,0.282390874,0,2.823908741
1550,10,GO Biological Process,,RNA metabolic process,0.0015,SMAD2|CDK2|TP53|CEBPB|SMAD1|PRKACA|SMAD3|E2F1|SKI|CTNNB1,10163,10267|10303|10291|10312|10282|10261|10252|10264|10270|10285,3.24E-05,,GO:0016070,0.282390874,0,2.823908741
671,7,GO Biological Process,,Regulation of growth,0.0015,CSNK2A1|CYP27B1|TP53|SMAD3|BMPR1A|CDK1|AKT1,10163,10306|10255|10291|10252|10300|10327|10330,3.46E-05,,GO:0040008,0.282390874,0,2.823908741
447,6,GO Biological Process,,Regulation of nervous system development,0.0015,TP53|E2F1|BMPR1A|SKI|AKT1|CTNNB1,10163,10291|10264|10300|10270|10330|10285,3.48E-05,,GO:0051960,0.282390874,0,2.823908741
128,4,GO Biological Process,,Cellular response to hypoxia,0.0015,STUB1|TP53|E2F1|MYC,10163,10315|10291|10264|10318,3.46E-05,,GO:0071456,0.282390874,0,2.823908741
5,2,TISSUES,,NIH-3T3 cell,0.0015,TP53|AKT1,10163,10291|10330,4.06E-05,,BTO:0000944,0.282390874,0,2.823908741
5,2,TISSUES,,DU-145 cell,0.0015,TP53|AKT1,10163,10291|10330,4.06E-05,,BTO:0001332,0.282390874,0,2.823908741
5,2,TISSUES,,M cell,0.0015,TP53|CDK1,10163,10291|10327,4.06E-05,,BTO:0003600,0.282390874,0,2.823908741
5,2,Reactome Pathways,,Activation of NOXA and translocation to mitochondria,0.0015,TP53|E2F1,10163,10291|10264,4.06E-05,,HSA-111448,0.282390874,0,2.823908741
5,2,Reactome Pathways,,G2 Phase,0.0015,CDK2|E2F1,10163,10303|10264,4.06E-05,,HSA-68911,0.282390874,0,2.823908741
43,3,GO Biological Process,,Positive regulation of organ growth,0.0016,BMPR1A|CDK1|AKT1,10163,10300|10327|10330,3.73E-05,,GO:0046622,0.279588002,0,2.795880017
280,5,TISSUES,,Colonic cancer cell,0.0016,STUB1|SMAD2|SMAD3|E2F4|CTNNB1,10163,10315|10267|10252|10321|10285,4.55E-05,,BTO:0000586,0.279588002,0,2.795880017
905,9,Monarch Phenotype,,Abnormal joint morphology,0.0016,STUB1|CYP27B1|TP53|PRKACA|SMAD3|SKI|BMPR1B|ACVR1|AKT1,10163,10315|10255|10291|10261|10252|10270|10294|10279|10330,2.95E-06,,HP:0001367,0.279588002,0,2.795880017
2182,13,Monarch Phenotype,,Growth abnormality,0.0016,CSNK2A1|STUB1|CYP27B1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10306|10315|10255|10267|10291|10261|10252|10300|10270|10294|10279|10330|10285,2.88E-06,,HP:0001507,0.279588002,0,2.795880017
945,8,GO Biological Process,,Positive regulation of cell population proliferation,0.0017,CSNK2A1|CDK2|E2F1|BMPR1A|CDK1|AKT1|MYC|CTNNB1,10163,10306|10303|10264|10300|10327|10330|10318|10285,3.77E-05,,GO:0008284,0.276955108,0,2.769551079
1252,9,GO Biological Process,,Negative regulation of signal transduction,0.0017,CSNK2A1|STUB1|TP53|PRKACA|SKI|ACVR1|AKT1|MYC|CTNNB1,10163,10306|10315|10291|10261|10270|10279|10330|10318|10285,3.94E-05,,GO:0009968,0.276955108,0,2.769551079
270,5,GO Biological Process,,Rhythmic process,0.0017,CSNK2A1|TP53|CASP3|CDK1|BMPR1B,10163,10306|10291|10333|10327|10294,3.84E-05,,GO:0048511,0.276955108,0,2.769551079
76,3,WikiPathways,,Prolactin signaling pathway,0.0017,CASP3|AKT1|MYC,10163,10333|10330|10318,1.90E-04,,WP2037,0.276955108,0,2.769551079
1506,11,Monarch Phenotype,,Abnormality of the lower limb,0.0017,STUB1|CYP27B1|SMAD2|TP53|PRKACA|SMAD3|SKI|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10315|10255|10267|10291|10261|10252|10270|10294|10279|10330|10285,3.38E-06,,HP:0002814,0.276955108,0,2.769551079
2206,13,Monarch Phenotype,,Abnormal axial skeleton morphology,0.0017,CSNK2A1|STUB1|CYP27B1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10306|10315|10255|10267|10291|10261|10252|10300|10270|10294|10279|10330|10285,3.25E-06,,HP:0009121,0.276955108,0,2.769551079
5,2,GO Biological Process,,Glial cell apoptotic process,0.0018,TP53|CASP3,10163,10291|10333,4.06E-05,,GO:0034349,0.274472749,0,2.744727495
135,4,GO Biological Process,,Regulation of fat cell differentiation,0.0018,CEBPB|SMAD3|E2F1|AKT1,10163,10312|10252|10264|10330,4.24E-05,,GO:0045598,0.274472749,0,2.744727495
2365,12,GO Biological Process,,Regulation of cellular component organization,0.0018,CSNK2A1|STUB1|CYP27B1|CASP6|CDK2|TP53|PLK1|PRKACA|SMAD3|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10309|10303|10291|10297|10261|10252|10330|10318|10285,4.30E-05,,GO:0051128,0.274472749,0,2.744727495
5,2,GO Biological Process,,Positive regulation of programmed necrotic cell death,0.0018,CASP6|TP53,10163,10309|10291,4.06E-05,,GO:0062100,0.274472749,0,2.744727495
45,3,GO Biological Process,,Leukocyte apoptotic process,0.0018,TP53|CASP3|AKT1,10163,10291|10333|10330,4.24E-05,,GO:0071887,0.274472749,0,2.744727495
5,2,GO Biological Process,,Cellular response to staurosporine,0.0018,CASP6|CASP3,10163,10309|10333,4.06E-05,,GO:0072734,0.274472749,0,2.744727495
5,2,GO Biological Process,,Regulation of anaphase-promoting complex-dependent catabolic process,0.0018,CDK2|PLK1,10163,10303|10297,4.06E-05,,GO:1905784,0.274472749,0,2.744727495
2838,13,TISSUES,,Male reproductive system,0.0018,RBL2|TP53|PLK1|CEBPB|PRKACA|CASP3|MYB|BMPR1A|BMPR1B|SUMO2|AKT1|MYC|CTNNB1,10163,10276|10291|10297|10312|10261|10333|10288|10300|10294|10273|10330|10318|10285,5.17E-05,,BTO:0000082,0.274472749,0,2.744727495
6,2,TISSUES,,PC-12 cell,0.0018,CASP3|AKT1,10163,10333|10330,5.41E-05,,BTO:0001009,0.274472749,0,2.744727495
6,2,TISSUES,,LNCaP cell,0.0018,TP53|AKT1,10163,10291|10330,5.41E-05,,BTO:0001321,0.274472749,0,2.744727495
6,2,TISSUES,,Myofibroblast,0.0018,SMAD2|SMAD3,10163,10267|10252,5.41E-05,,BTO:0001946,0.274472749,0,2.744727495
87,3,KEGG Pathways,,Longevity regulating pathway,0.0018,TP53|PRKACA|AKT1,10163,10291|10261|10330,2.80E-04,,hsa04211,0.274472749,0,2.744727495
2641,14,Monarch Phenotype,,Abnormality of the face,0.0018,CSNK2A1|STUB1|CYP27B1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10267|10291|10261|10252|10300|10270|10294|10279|10330|10318|10285,3.87E-06,,HP:0000271,0.274472749,0,2.744727495
1888,12,Monarch Phenotype,,Abnormality of the skin,0.0018,STUB1|CYP27B1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10315|10255|10267|10291|10261|10252|10300|10270|10294|10279|10330|10285,4.30E-06,,HP:0000951,0.274472749,0,2.744727495
2266,13,Monarch Phenotype,,Abnormality of the integument,0.0018,CSNK2A1|STUB1|CYP27B1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1|CTNNB1,10163,10306|10315|10255|10267|10291|10261|10252|10300|10270|10294|10279|10330|10285,4.40E-06,,HP:0001574,0.274472749,0,2.744727495
1214,10,Monarch Phenotype,,Abnormality of blood and blood-forming tissues,0.0018,CSNK2A1|SMAD2|TP53|PRKACA|SMAD3|BMPR1A|ACVR1|AKT1|MYC|CTNNB1,10163,10306|10267|10291|10261|10252|10300|10279|10330|10318|10285,3.82E-06,,HP:0001871,0.274472749,0,2.744727495
303,6,Monarch Phenotype,,Increased blood pressure,0.0018,SMAD2|TP53|PRKACA|SMAD3|BMPR1A|CTNNB1,10163,10267|10291|10261|10252|10300|10285,3.96E-06,,HP:0032263,0.274472749,0,2.744727495
1612,10,GO Biological Process,,Negative regulation of response to stimulus,0.0019,CSNK2A1|STUB1|TP53|PRKACA|SMAD3|SKI|ACVR1|AKT1|MYC|CTNNB1,10163,10306|10315|10291|10261|10252|10270|10279|10330|10318|10285,4.54E-05,,GO:0048585,0.27212464,0,2.721246399
6,2,Reactome Pathways,,Phosphorylation of Emi1,0.0019,PLK1|CDK1,10163,10297|10327,5.41E-05,,HSA-176417,0.27212464,0,2.721246399
6,2,Reactome Pathways,,SMAD2/3 Phosphorylation Motif Mutants in Cancer,0.0019,SMAD2|SMAD3,10163,10267|10252,5.41E-05,,HSA-3304356,0.27212464,0,2.721246399
6,2,Reactome Pathways,,TGFBR1 KD Mutants in Cancer,0.0019,SMAD2|SMAD3,10163,10267|10252,5.41E-05,,HSA-3656532,0.27212464,0,2.721246399
80,3,WikiPathways,,Clock-controlled autophagy in bone metabolism,0.0019,SMAD1|SMAD5|AKT1,10163,10282|10258|10330,2.20E-04,,WP5205,0.27212464,0,2.721246399
47,3,GO Biological Process,,Regulation of muscle tissue development,0.002,SMAD3|ACVR1|CTNNB1,10163,10252|10279|10285,4.80E-05,,GO:1901861,0.269897,0,2.698970004
14,2,WikiPathways,,H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity,0.002,E2F1|CTNNB1,10163,10264|10285,2.30E-04,,WP3969,0.269897,0,2.698970004
712,7,GO Biological Process,,Cell population proliferation,0.0021,TP53|CEBPB|SMAD1|BMPR1A|CDK1|AKT1|CTNNB1,10163,10291|10312|10282|10300|10327|10330|10285,5.03E-05,,GO:0008283,0.267778071,0,2.677780705
216,5,DISEASES,,Intestinal disease,0.0021,TP53|BMPR1A|AKT1|MYC|CTNNB1,10163,10291|10300|10330|10318|10285,1.34E-05,,DOID:5295,0.267778071,0,2.677780705
1263,10,Monarch Phenotype,,Abnormal digit morphology,0.0021,CSNK2A1|STUB1|SMAD2|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|AKT1,10163,10306|10315|10267|10261|10252|10300|10270|10294|10279|10330,5.42E-06,,HP:0011297,0.267778071,0,2.677780705
143,4,GO Biological Process,,Negative regulation of neurogenesis,0.0022,TP53|BMPR1A|SKI|CTNNB1,10163,10291|10300|10270|10285,5.27E-05,,GO:0050768,0.265757732,0,2.657577319
34,3,GO Molecular Function,,Disordered domain specific binding,0.0022,SMAD2|TP53|CTNNB1,10163,10267|10291|10285,1.93E-05,,GO:0097718,0.265757732,0,2.657577319
6111,19,TISSUES,,Female reproductive system,0.0022,CSNK2A1|RBL2|SMAD2|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|SMAD3|MYB|BMPR1A|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10276|10267|10303|10291|10297|10312|10282|10261|10252|10288|10300|10294|10279|10273|10258|10330|10318|10285,6.76E-05,,BTO:0000083,0.265757732,0,2.657577319
7,2,TISSUES,,Prostate gland cancer cell,0.0022,TP53|AKT1,10163,10291|10330,6.95E-05,,BTO:0001130,0.265757732,0,2.657577319
7,2,TISSUES,,Embryonic fibroblast,0.0022,TP53|MYC,10163,10291|10318,6.95E-05,,BTO:0004725,0.265757732,0,2.657577319
684,7,UniProt Keywords,,Activator,0.0022,TP53|CEBPB|MYB|E2F1|E2F4|MYC|CTNNB1,10163,10291|10312|10288|10264|10321|10318|10285,3.91E-05,,KW-0010,0.265757732,0,2.657577319
1971,11,UniProt Keywords,,DNA-binding,0.0022,RBL2|SMAD2|TP53|CEBPB|SMAD1|SMAD3|MYB|E2F1|E2F4|SMAD5|MYC,10163,10276|10267|10291|10312|10282|10252|10288|10264|10321|10258|10318,4.35E-05,,KW-0238,0.265757732,0,2.657577319
747,7,Reactome Pathways,,Cellular responses to stress,0.0022,CSNK2A1|CDK2|TP53|CEBPB|E2F1|AKT1|MYC,10163,10306|10303|10291|10312|10264|10330|10318,6.79E-05,,HSA-2262752,0.265757732,0,2.657577319
7,2,Reactome Pathways,,"Activation of NIMA Kinases NEK9, NEK6, NEK7",0.0022,PLK1|CDK1,10163,10297|10327,6.95E-05,,HSA-2980767,0.265757732,0,2.657577319
7,2,Reactome Pathways,,RUNX3 regulates CDKN1A transcription,0.0022,TP53|SMAD3,10163,10291|10252,6.95E-05,,HSA-8941855,0.265757732,0,2.657577319
15,2,WikiPathways,,Mammary gland development pathway - Embryonic development (Stage 1 of 4),0.0022,AKT1|MYC,10163,10330|10318,2.60E-04,,WP2813,0.265757732,0,2.657577319
85,3,WikiPathways,,Acute viral myocarditis,0.0022,CASP6|CASP3|AKT1,10163,10309|10333|10330,2.60E-04,,WP4298,0.265757732,0,2.657577319
85,3,WikiPathways,,ncRNAs involved in Wnt signaling in hepatocellular carcinoma,0.0022,CSNK2A1|MYC|CTNNB1,10163,10306|10318|10285,2.60E-04,,WP4336,0.265757732,0,2.657577319
22,3,Monarch Phenotype,,Colorectal polyposis,0.0022,TP53|BMPR1A|AKT1,10163,10291|10300|10330,5.77E-06,,HP:0200063,0.265757732,0,2.657577319
5436,18,GO Biological Process,,Cellular component organization,0.0023,RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F4|CDK1|BMPR1B|AKT1|MYC|CTNNB1,10163,10276|10267|10324|10309|10303|10291|10297|10282|10261|10333|10252|10288|10321|10327|10294|10330|10318|10285,5.63E-05,,GO:0016043,0.263827216,0,2.638272164
87,3,WikiPathways,,Hair follicle development: cytodifferentiation - part 3 of 3,0.0023,SMAD1|BMPR1A|CTNNB1,10163,10282|10300|10285,2.80E-04,,WP2840,0.263827216,0,2.638272164
146,4,GO Biological Process,,Negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.0024,STUB1|TP53|SKI|ACVR1,10163,10315|10291|10270|10279,5.70E-05,,GO:0090101,0.261978876,0,2.619788758
50,3,GO Biological Process,,Execution phase of apoptosis,0.0024,CASP6|CASP3|AKT1,10163,10309|10333|10330,5.72E-05,,GO:0097194,0.261978876,0,2.619788758
89,3,WikiPathways,,Apoptosis modulation and signaling,0.0024,CASP6|TP53|CASP3,10163,10309|10291|10333,3.00E-04,,WP1772,0.261978876,0,2.619788758
16,2,WikiPathways,,ID signaling pathway,0.0024,RBL2|CDK2,10163,10276|10303,2.90E-04,,WP53,0.261978876,0,2.619788758
